name,positions,rating,nationality,club,league
P. Ofosu-Ayeh,RB,63,Ghana,VfR Aalen,2. Bundesliga
P. Okonkwo,ST,52,Nigeria,Atlanta United,Major League Soccer
P. Okuniewicz,ST,55,Poland,Górnik Łęczna,Ekstraklasa
P. Olayinka,ST,65,Nigeria,KAA Gent,Jupiler Pro League
P. Oleksy,LB,64,Poland,Ruch Chorzów,Ekstraklasa
P. Olkowski,RB; RM,67,Poland,1. FC Köln,Bundesliga
P. Olsen,CM; CAM,61,Denmark,Strømsgodset IF,Eliteserien
P. Olszewski,RB,52,Poland,Jagiellonia Białystok,Ekstraklasa
P. Omochere,RM,50,Republic of Ireland,Bohemian FC,Premier Division
P. Omombe,RW,56,France,US Orléans Loiret Football,Ligue 2
P. Omotosho,CDM,49,Republic of Ireland,Waterford United,Premier Division
P. Oniangué,CM; CDM,74,Congo,Stade de Reims,Ligue 1
P. Onuachu,ST,70,Nigeria,FC Midtjylland,Superliga
P. Oro,ST,58,Argentina,Huracán,Liga Profesional
P. Orozco,RB,50,Colombia,Jaguares de Córdoba Fútbol Club,Liga BetPlay
P. Ortiz,GK,68,Ecuador,Emelec,Liga Pro
P. Ortíz,GK,69,Ecuador,Emelec,Liga Pro
P. Osew,LB; LWB,50,England,AFC Wimbledon,League One
P. Ostachuk,CB,59,Argentina,Independiente,Liga Profesional
P. Osterhage,CM; CDM,57,Germany,Borussia Dortmund,Bundesliga
P. Osvaldo,ST,78,Italy,Inter,Serie A
P. Otele,LM; RM,62,Nigeria,AFC UTA Arad,Liga 1
P. Ouaneh,CB,53,France,FC Lorient,Ligue 2
P. Ovchinnikov,GK,54,Russia,PFC CSKA Moscow,Premier League
P. Owusu,ST,65,Germany,DSC Arminia Bielefeld,2. Bundesliga
P. Oziębała,RM; ST,55,Poland,Górnik Zabrze,Ekstraklasa
P. Oșan,CB,53,Romania,AFC Hermannstadt,Liga 1
P. Paczuk,RM; CAM,54,Poland,Pogoń Szczecin,Ekstraklasa
P. Pagis,ST,58,France,Lorient,Ligue 1
P. Pagnano,CAM; CM,57,Venezuela,Mineros de Guayana,Primera Division
P. Palacio,RM,61,Argentina,Unión Santa Fe,Liga Profesional
P. Palacios,ST,63,Paraguay,San Martín de San Juan,Liga Profesional
P. Panagiotou,CB,60,Greece,PAOK,Super League
P. Pannier,CAM,55,Germany,Hallescher FC,3. Liga
P. Papp,CB; RB,69,Romania,Chievo Verona,Serie A
P. Parente,LB,56,Italy,Genoa,Serie A
P. Parra,CF; RM; CAM,62,Chile,Deportivo Ñublense,Primera Division
P. Parzyszek,ST,66,Poland,Randers FC,Superliga
P. Pasanen,CB; LB,64,Finland,,
P. Paton,CDM; CM; RB,63,Northern Ireland,Dundee United,Premiership
P. Patron,GK,56,France,Clermont Foot 63,Ligue 2
P. Patsekin,CAM; CM,56,Russia,FC Lokomotiv Moscow,Premier League
P. Patterson,CAM; LM; RM,58,Scotland,Tottenham Hotspur,Premier League
P. Pavetti,CAM,59,Argentina,Atlético de Rafaela,Liga Profesional
P. Pavlyuchenko,GK,57,Belarus,Bruk-Bet Termalica Nieciecza,Ekstraklasa
P. Pawlett,CAM; CM; RM,68,Scotland,Aberdeen,Premiership
P. Paya,CDM,48,Sweden,GIF Sundsvall,Allsvenskan
P. Paye,RB,65,France,Dijon FCO,Ligue 2
P. Paz,CF; CAM; ST,55,Chile,Deportes Iquique,Primera Division
P. Pațurcă,CDM,60,Romania,FC Academica Clinceni,Liga 1
P. Peda,CB; RB,60,Poland,SPAL,Serie B
P. Pedersen,ST,58,Denmark,Viking FK,Eliteserien
P. Pedraza,CB; LB,59,Bolivia,,
P. Pekarík,RB; LB,75,Slovakia,Hertha BSC,Bundesliga
P. Pellegri,ST,64,Italy,Monaco,Ligue 1
P. Pellegrino,GK,55,Italy,Cosenza,Serie B
P. Pentke,GK,65,Germany,SSV Jahn Regensburg,2. Bundesliga
P. Pentz,GK,53,Austria,FK Austria Wien,Bundesliga
P. Perdichizzi,CB,64,Belgium,Westerlo,Jupiler Pro League
P. Pergl,RB; CB,63,Czech Republic,FC Vaduz,Super League
P. Perina,GK,60,Italy,Cosenza,Serie B
P. Perlaza,RB,69,Ecuador,LDU Quito,Liga Pro
P. Pervan,GK,66,Austria,LASK Linz,Bundesliga
P. Petasz,LM; LB; RB,59,Poland,Zawisza Bydgoszcz,Ekstraklasa
P. Petkovski,LW; RW,67,North Macedonia,Botoşani,Liga 1
P. Petlach,CB,56,Austria,FC Flyeralarm Admira,Bundesliga
P. Petrescu,RM,62,Romania,AFC Hermannstadt,Liga 1
P. Petrović,LM,55,Sweden,Malmö FF,Allsvenskan
P. Pfeiffer,CB; LB,60,Germany,Hamburger SV,2. Bundesliga
P. Pflücke,CAM; LM,57,Germany,1. FSV Mainz 05,Bundesliga
P. Phillips,CM,48,Republic of Ireland,Cork City,Premier Division
P. Phungwayo,LB; RB,66,South Africa,Orlando Pirates,Premier League
P. Piatti,LW; LM; CF; RW,78,Argentina,Valencia CF,La Liga
P. Piazzetta,CB; RB,63,Italy,Vicenza,Serie B
P. Pichkah,CDM; CM,60,Sweden,GIF Sundsvall,Allsvenskan
P. Pierzchała,CB,56,Poland,Korona Kielce,Ekstraklasa
P. Pino,RB,64,Colombia,Fortaleza CEIF,Liga BetPlay
P. Pinto,CB,60,Italy,Salernitana,Serie B
P. Pintos,RB,67,Uruguay,San Jose Earthquakes,Major League Soccer
P. Pitry,CF; ST; LM,61,Poland,Górnik Łęczna,Ekstraklasa
P. Pizarro,CB,63,Argentina,Huracán,Liga Profesional
P. Piñones-Arce,ST,60,Sweden,Hammarby IF,Allsvenskan
P. Platins,GK,64,Germany,SV Darmstadt 98,2. Bundesliga
P. Plewka,CAM; CM,54,Poland,Wisła Kraków,Ekstraklasa
P. Plojer,LW; RW,59,Austria,LASK Linz,Bundesliga
P. Pogba,CM,83,France,Juventus,Serie A
P. Pogrebnyak,ST,68,Russia,Reading,Championship
P. Pokorný,CDM,63,Slovakia,spusu SKN St. Pölten,Bundesliga
P. Polczak,CB,62,Poland,Cracovia,Ekstraklasa
P. Polomat,LB; RB,65,France,Stade Lavallois Mayenne FC,Ligue 2
P. Polykarpou,CDM,55,Cyprus,APOEL Nicosia FC,1. Division
P. Pomer,CAM,63,Austria,Ried,Bundesliga
P. Pomykal,CM,54,United States,FC Dallas,Major League Soccer
P. Portocarrero,CB,64,Colombia,La Equidad,Liga BetPlay
P. Porębski,CAM,54,Poland,Wisła Kraków,Ekstraklasa
P. Posch,RB,52,Austria,FC Flyeralarm Admira,Bundesliga
P. Posipal,CDM; CB,57,Germany,SV Meppen,3. Liga
P. Postma,ST,57,Netherlands,Go Ahead Eagles,Eredivisie
P. Poór,RB; CB; LB,63,Hungary,,
P. Poński,RM,53,Poland,Korona Kielce,Ekstraklasa
P. Prado,RB; CDM,60,Peru,FC Nantes,Ligue 1
P. Prange,GK,52,Poland,Warta Poznań,Ekstraklasa
P. Prosenik,ST,57,Austria,SK Rapid Wien,Bundesliga
P. Puchegger,LB,62,Austria,SK Sturm Graz,Bundesliga
P. Puel,ST,55,France,OGC Nice,Ligue 1
P. Pululu,LW; RW,57,France,Verl,3. Liga
P. Pusic,CDM; CM,55,Switzerland,Grasshopper Club Zürich,Super League
P. Pušić,RM; LM; CAM,68,Switzerland,Grasshopper,Super League
P. Pyrdek,ST,54,Poland,Cracovia,Ekstraklasa
P. Pyrdoł,RM; LM,54,Poland,ŁKS Łódź,Ekstraklasa
P. Pálmason,ST; RM; LM,62,Iceland,Lillestrøm SK,Eliteserien
P. Pérez,CAM,72,Argentina,Once Caldas,Liga BetPlay
P. Pîrvulescu,LB; LM,63,Romania,spusu SKN St. Pölten,Bundesliga
P. Płacheta,LW; LB; RW,58,Poland,SG Sonnenhof Großaspach,3. Liga
P. Quasten,LB,63,Czech Republic,RKC Waalwijk,Eredivisie
P. Quaye,CDM,55,Ghana,Málaga CF,La Liga
P. Quinn,CB; RB,64,Scotland,Ross County FC,Premiership
P. Quispe,CAM; CM,61,Peru,Club Universitario de Deportes,Primera Division
P. Quiñonez,CDM; CM,69,Ecuador,,
P. Quiñónez,CDM; CM; LB,68,Ecuador,,
P. Rachubka,GK,61,United States,Oldham Athletic,League One
P. Rachwał,CDM,61,Poland,GKS Bełchatów,Ekstraklasa
P. Raitanen,CB,58,Finland,Fortuna Sittard,Eredivisie
P. Rajkovic,GK,73,Serbia,Stade de Reims,Ligue 1
P. Rajković,GK,75,Serbia,Reims,Ligue 1
P. Rakotoharisoa,CAM; LW; LM,57,France,Le Havre AC,Ligue 2
P. Rakovsky,GK,68,Germany,1. FC Nürnberg,2. Bundesliga
P. Ramage,CB,66,England,Crystal Palace,Premier League
P. Ramfangzauva,CDM,52,India,Odisha FC,Super League
P. Ramírez,CAM; LM,64,Venezuela,FC Sion,Super League
P. Rasmussen,CM,55,Denmark,Lyngby BK,Superliga
P. Reading,LB; LM,55,England,Middlesbrough,Championship
P. Rebello,CDM; CAM,55,India,Goa,Super League
P. Regoli,CM; RM,56,Italy,Avellino,Serie B
P. Reinhardsen,RM; RB; CB,60,Norway,Sarpsborg 08,Eliteserien
P. Reinoso,GK,57,Chile,Deportivo Ñublense,Primera Division
P. Rejnhold,RB; CB,61,Denmark,Helsingborg,Allsvenskan
P. Requena,RB,58,Peru,,
P. Rescondi,CB; RB,64,Ecuador,Universidad Católica,Liga Pro
P. Retomal,CDM; CM,74,Chile,Unión Española,Primera Division
P. Retre,CDM,54,Australia,Melbourne City FC,A-League
P. Retsos,CB,67,Greece,Olympiacos CFP,Super League
P. Reulet,GK,57,France,Stade Malherbe Caen,Ligue 1
P. Reyna,LB; LM,63,Peru,Melgar,Primera Division
P. Richter,RM; CF,57,Germany,VfB Oldenburg,3. Liga
P. Riese,CDM; CM,63,Germany,1. FC Heidenheim 1846,2. Bundesliga
P. Risanato,CDM; RB,59,Italy,Virtus Entella Chiavari,Serie B
P. Roberts,RM; LM,63,Republic of Ireland,Dundee FC,Premiership
P. Robinson,CB,65,England,Portsmouth,League Two
P. Rodríguez,LM; RM,71,Argentina,AEK Athens,Super League
P. Rogala,CB,54,Poland,Korona Kielce,Ekstraklasa
P. Rojas,ST,53,Colombia,Uniautónoma FC,Liga BetPlay
P. Romero,LB,61,Argentina,Club Atlético Temperley,Liga Profesional
P. Rommens,CAM,64,Belgium,Go Ahead Eagles,Eredivisie
P. Rooney,LB,47,Republic of Ireland,St. Patrick's Athletic,Premier Division
P. Rosales,CAM,65,Argentina,Unión La Calera,Primera Division
P. Rosario,CM,62,Netherlands,PSV,Eredivisie
P. Rossini,ST,50,Switzerland,FC Zürich,Super League
P. Rothrock,RM; LM,53,United States,Toronto,Major League Soccer
P. Rovaglia,ST,58,Italy,Chievo,Serie B
P. Rubio,ST; LW,72,Chile,Universidad de Chile,Primera Division
P. Ruddock,CM; CB,54,England,Luton Town,League Two
P. Ruddock Mpanzu,CM; CB,54,England,Luton Town,League Two
P. Ruffaut,CM; CAM,65,France,Rodez Aveyron Football,Ligue 2
P. Ruiz,CAM,64,Argentina,Nueva Chicago,Liga Profesional
P. Ríos,CM; CAM,59,Mexico,América,Liga MX
P. Rödin,CB,54,Sweden,AFC Eskilstuna,Allsvenskan
P. Rønning,CB; LB,64,Norway,Rosenborg BK,Eliteserien
P. Saathof,CM; CAM; CDM,56,Netherlands,Go Ahead Eagles,Eredivisie
P. Sabak,CAM; RM,57,Belgium,KRC Genk,Jupiler Pro League
P. Sabbag,ST,51,Colombia,Deportivo Cali,Liga BetPlay
P. Sabroso,ST,61,Peru,UTC Cajamarca,Primera Division
P. Sadeghian,LM; RM,68,Iran,Osmanlıspor,Super Lig
P. Safranko,ST,63,Slovakia,Aalborg BK,Superliga
P. Sagna,RB,67,France,Moreirense FC,Liga Portugal
P. Sajdak,CM,53,Poland,ŁKS Łódź,Ekstraklasa
P. Salata,CB,58,Germany,1. FC Kaiserslautern,2. Bundesliga
P. Salazar,LB,54,Argentina,Temperley,Liga Profesional
P. Saliu,CDM; CAM,59,Nigeria,FC Metz,Ligue 1
P. Salomon,CAM,59,Austria,SC Rheindorf Altach,Bundesliga
P. Samiec-Talar,ST,55,Poland,Śląsk Wrocław,Ekstraklasa
P. Sammarco,CM; CDM,66,Italy,Spezia,Serie B
P. Sanchez,CF; CAM; ST,55,Chile,CD Everton de Viña del Mar,Primera Division
P. Sander,LM; CM; CAM,58,Germany,Holstein Kiel,2. Bundesliga
P. Sandler,CB; CDM,62,Netherlands,PEC Zwolle,Eredivisie
P. Santillo,GK,52,Argentina,Defensa y Justicia,Liga Profesional
P. Sané,ST,66,Senegal,Football Bourg En Bresse Peronnas 01,Ligue 2
P. Sarr,RM; LM,59,Senegal,Angers SCO,Ligue 2
P. Sasin,RB; LB; CDM,57,Poland,Górnik Łęczna,Ekstraklasa
P. Savitski,LM,53,Belarus,Jagiellonia Białystok,Ekstraklasa
P. Scheder,ST; CAM,55,Germany,Bayreuth,3. Liga
P. Schermer,GK,53,Austria,Wattens,Bundesliga
P. Schiattarella,RM,68,Italy,Spezia,Serie B
P. Schick,ST,72,Czech Republic,U.C. Sampdoria,Serie A
P. Schikowski,LW,63,Poland,Verl,3. Liga
P. Schmidt,ST,55,Austria,FC Flyeralarm Admira,Bundesliga
P. Schmieder,CB; RB; CDM,52,Germany,SV Darmstadt 98,2. Bundesliga
P. Schmiedl,CB,59,Austria,Rheindorf Altach,Bundesliga
P. Schobesberger,RW; LW; ST,64,Austria,SK Rapid Wien,Bundesliga
P. Schoch,ST,53,Germany,SpVgg Unterhaching,3. Liga
P. Schorr,LB,60,Germany,FSV Frankfurt,2. Bundesliga
P. Schulte,GK,56,United States,Columbus Crew,Major League Soccer
P. Schulz,CDM; CB,58,Germany,FSV Mainz 05,Bundesliga
P. Schulze,GK,58,Germany,VfL Wolfsburg,Bundesliga
P. Schuurs,CB,70,Netherlands,Ajax,Eredivisie
P. Schwarz,CM; CDM,63,Czech Republic,Raków Częstochowa,Ekstraklasa
P. Schwegler,CDM; CM,77,Switzerland,TSG Hoffenheim,Bundesliga
P. Schönfeld,LM; CF; CAM; RM,64,Germany,FC Erzgebirge Aue,2. Bundesliga
P. Schüpbach,LB; CB,52,Switzerland,Young Boys,Super League
P. Schürpf,LM; CF; RW,56,Switzerland,FC Vaduz,Super League
P. Sciortino,CDM,61,France,Olympique Marseille,Ligue 1
P. Seagrist,LB,56,United States,New York RB,Major League Soccer
P. Seeger,RW,59,Austria,SC Rheindorf Altach,Bundesliga
P. Segbefia,CM; CDM,66,Togo,Göztepe SK,Super Lig
P. Segerström,CB,61,Sweden,IF Brommapojkarna,Allsvenskan
P. Seguin,CDM,59,Germany,VfL Wolfsburg,Bundesliga
P. Sejdiu,RM,55,Sweden,Malmö FF,Allsvenskan
P. Selkos,ST; LM,53,Greece,SC Paderborn 07,2. Bundesliga
P. Senderos,CB,72,Switzerland,Aston Villa,Premier League
P. Sequeira,GK,61,Costa Rica,Lugo,La Liga 2
P. Sergeev,CAM; RM,59,Russia,Arsenal Tula,Premier League
P. Shadrin,CDM,55,Russia,Rubin Kazan,Premier League
P. Shalulile,ST,72,Namibia,Mamelodi Sundowns,Premier League
P. Shrivas,LB; LM,52,India,Bengaluru,Super League
P. Sieben,CDM; CM,56,Germany,Fortuna Düsseldorf,2. Bundesliga
P. Siegl,CDM,59,Austria,TSV Egger Glas Hartberg,Bundesliga
P. Silbeira,CB; LB,73,Paraguay,,
P. Siles,CDM; CM,65,Bolivia,Royal Pari,Liga De Futbol Prof
P. Silfwer,CM,54,Sweden,Halmstads BK,Allsvenskan
P. Silva Torrejón,LB; LM,58,Argentina,Boca Juniors,Liga Profesional
P. Sinapi,CM,54,France,GFC Ajaccio,Ligue 2
P. Singh,LM; RM,49,India,Odisha FC,Super League
P. Sinnott,CDM; CB,56,Republic of Ireland,Galway United,Premier Division
P. Sisniega,GK,67,Mexico,Real Sociedad,La Liga
P. Sisto,RM; RW; CM,66,Denmark,FC Midtjylland,Superliga
P. Skapetis,ST,55,Australia,Stoke City,Premier League
P. Skinner,GK,52,Republic of Ireland,Athlone Town,Premier Division
P. Skjelbred,CM; CAM; RM,74,Norway,Hamburger SV,Bundesliga
P. Skuletic,ST; CF,66,Serbia,FC Lokomotiv Moscow,Premier League
P. Slidja,ST,56,France,Valenciennes FC,Ligue 2
P. Slišković,ST,64,Croatia,1. FSV Mainz 05,Bundesliga
P. Slørdahl,CB,50,Norway,Lillestrøm,Eliteserien
P. Smith,GK,57,England,Southend United,League Two
P. Smyth,ST; RM,59,Northern Ireland,Queens Park Rangers,Championship
P. Sobolewski,RM; CAM; CM,63,Poland,Korona Kielce,Ekstraklasa
P. Socha,GK,45,Poland,Górnik Łęczna,Ekstraklasa
P. Sohm,RW; ST,65,Germany,SG Sonnenhof Großaspach,3. Liga
P. Soiri,RW; LW; CF,61,Finland,,
P. Soko,RW,60,Cameroon,Club Atlas,Liga MX
P. Sokołowski,CDM,58,Poland,Piast Gliwice,Ekstraklasa
P. Sokół,GK,52,Poland,Korona Kielce,Ekstraklasa
P. Solari,RM; ST; RW,73,Argentina,River Plate,Liga Profesional
P. Solomatin,ST; RW,64,Russia,Amkar Perm,Premier League
P. Sonn,CM,54,Germany,SV Darmstadt 98,2. Bundesliga
P. Sontheimer,CAM,55,Germany,SpVgg Greuther Fürth,2. Bundesliga
P. Sotiriou,ST,68,Cyprus,F.C. København,Superliga
P. Soto,GK,61,Chile,Colo-Colo,Primera Division
P. Souaré,LB; LM,74,Senegal,LOSC Lille,Ligue 1
P. Sow,CDM; CB,67,Senegal,Rio Ave FC,Liga Portugal
P. Sparrdal-Mantilla,CB,57,Sweden,Djurgårdens IF,Allsvenskan
P. Spilabotte,GK,52,Italy,Latina,Serie B
P. Sprint,GK,62,Germany,Viktoria Berlin,3. Liga
P. Spyropoulos,RB,61,Greece,Panathinaikos FC,Super League
P. Staikos,CDM; CAM; CM,59,Greece,Panathinaikos FC,Super League
P. Starzyński,RM,55,Poland,Wisła Kraków,Ekstraklasa
P. Stawarczyk,CB,64,Poland,Ruch Chorzów,Ekstraklasa
P. Staňo,CB; CDM; CM,65,Slovakia,Podbeskidzie Bielsko-Biała,Ekstraklasa
P. Steinhart,LB; LM,62,Germany,FC Bayern München,Bundesliga
P. Steinwender,RM; CAM,64,Germany,Paderborn,2. Bundesliga
P. Steiring,CB,51,Norway,Rosenborg BK,Eliteserien
P. Stenzel,RB,57,Germany,Borussia Dortmund,Bundesliga
P. Stepanets,RB; LB; CDM,64,Ukraine,FC Ufa,Premier League
P. Stojanović,RB; RM,70,Slovenia,,
P. Stolarski,RB; RM,58,Poland,Lechia Gdańsk,Ekstraklasa
P. Stolc,CB; RB,57,Poland,Arka Gdynia,Ekstraklasa
P. Strand,CM,59,Norway,Sogndal Fotball,Eliteserien
P. Strasser,GK,58,Austria,SV Grödig,Bundesliga
P. Strompf,CB,62,Germany,Eintracht Braunschweig,3. Liga
P. Stronati,CB,56,Czech Republic,FK Austria Wien,Bundesliga
P. Struijk,CB,63,Netherlands,Leeds United,Championship
P. Strąk,CB; CDM,60,Poland,Zawisza Bydgoszcz,Ekstraklasa
P. Stupiski,ST,59,Argentina,Crucero del Norte,Liga Profesional
P. Sturm,CM,55,Austria,Chemnitzer FC,3. Liga
P. Stępiński,LB,60,Poland,Wisła Płock,Ekstraklasa
P. Sullivan,RB; CB,56,Republic of Ireland,Longford Town,Premier Division
P. Sussek,CAM; RM,58,Germany,FC Ingolstadt 04,2. Bundesliga
P. Sutter,LW; ST,53,Switzerland,FC St. Gallen 1879,Super League
P. Sweeney,CB,56,Republic of Ireland,Reading,Championship
P. Szakály,CAM; LW; LM,68,Hungary,,
P. Szappanos,GK,65,Hungary,,
P. Szarek,CB,58,Poland,Bruk-Bet Termalica Nieciecza,Ekstraklasa
P. Szymiński,CB,62,Poland,Wisła Płock,Ekstraklasa
P. Szysz,ST,50,Poland,Górnik Łęczna,Ekstraklasa
P. Sánchez,CF; CAM; ST,55,Chile,Everton,Primera Division
P. Tachtsidis,CDM; CM,70,Greece,Hellas Verona,Serie A
P. Tait,GK,50,Scotland,Ross County FC,Premiership
P. Tamburrini,CDM; CM,61,Chile,Santiago Wanderers,Primera Division
P. Tarnowski,LM; RM,55,Poland,Podbeskidzie Bielsko-Biała,Ekstraklasa
P. Tau,RW; CAM,76,South Africa,,
P. Tavima,CB,59,Colombia,Boyacá Chicó FC,Liga BetPlay
P. Tawiah,LB,61,Ghana,Paderborn,2. Bundesliga
P. Taylor,ST; CAM; RW; LW,65,England,Rotherham United,Championship
P. Tear,GK,60,Sweden,CD Tondela,Liga Portugal
P. Teixeira,LM; RM; LW,53,Switzerland,BSC Young Boys,Super League
P. Ten,LB; RB,63,Russia,FC Tom Tomsk,Premier League
P. Terracciano,GK,64,Italy,Catania,Serie B
P. Testroet,ST,68,Germany,SG Dynamo Dresden,2. Bundesliga
P. Texel,RB; CB,54,Denmark,Midtjylland,Superliga
P. Theodore,ST,49,Australia,Brisbane Roar,A-League
P. Therkildsen,CB; CM,55,Denmark,AC Horsens,Superliga
P. Thiam,ST,57,Senegal,Benevento,Serie B
P. Thiombane,LM; LB; LW,60,Senegal,FC Girondins de Bordeaux,Ligue 1
P. Thirlwell,CDM; CB,61,England,Carlisle United,League Two
P. Thrier,CB,54,Switzerland,FC St. Gallen 1879,Super League
P. Tietz,ST,55,Germany,Eintracht Braunschweig,2. Bundesliga
P. Tisdale,CM; CAM,40,Malta,Exeter City,League Two
P. Tjørnelund,RB,49,Denmark,Esbjerg,Superliga
P. Tomasik,LM; LB,54,Poland,Podbeskidzie Bielsko-Biała,Ekstraklasa
P. Tomczyk,ST,56,Poland,Lech Poznań,Ekstraklasa
P. Toranzo,CAM,70,Argentina,Club Atlético Huracán,Liga Profesional
P. Tornaghi,GK,62,Italy,Vancouver Whitecaps FC,Major League Soccer
P. Torres,CF; ST,64,Argentina,Cruz Azul,Liga MX
P. Torresagasti,GK,63,Argentina,Rionegro Águilas,Liga BetPlay
P. Treu,RB; RM,57,Germany,Freiburg II,3. Liga
P. Triantis,CDM; CM,58,Australia,Sydney FC,A-League
P. Trindade,GK,56,France,Pau,Ligue 2
P. Tripoli,RW; RM; LW; CAM,66,Italy,Ascoli,Serie B
P. Trochowski,RM; CAM; CDM; LM,74,Germany,Sevilla FC,La Liga
P. Troncoso,CDM; CM,64,Chile,CD Cobreloa,Primera Division
P. Truant,GK,59,Italy,Vicenza,Serie B
P. Trujillo,GK,60,Peru,Cienciano,Primera Division
P. Trytko,ST; CF,59,Poland,Korona Kielce,Ekstraklasa
P. Tschauner,GK,70,Germany,FC St. Pauli,2. Bundesliga
P. Tschernegg,CDM; CB,63,Austria,RZ Pellets Wolfsberger AC,Bundesliga
P. Tschernuth,GK,59,Austria,Heidenheim,2. Bundesliga
P. Tsintotas,GK,64,Greece,AEK Athens,Super League
P. Tuszyński,ST,60,Poland,Jagiellonia Białystok,Ekstraklasa
P. Twumasi,RW; RM,65,Ghana,Deportivo Alavés,La Liga
P. Tyson,GK,50,England,Oldham Athletic,League One
P. Tytoń,GK,76,Poland,Elche CF,La Liga
P. Tzimas,CAM; RW; LW,64,Greece,PAOK,Super League
P. Türpitz,RM; ST,66,Germany,1. FC Magdeburg,3. Liga
P. Ulvestad,CM,61,Norway,Kristiansund BK,Eliteserien
P. Urminsky,GK,55,Slovakia,St. Mirren,Premiership
P. Uscanga,CM,62,Mexico,Gallos Blancos de Querétaro,Liga MX
P. Utaka,ST,76,Nigeria,Sanfrecce Hiroshima,J-League
P. Vaca,RW,59,Bolivia,Club Always Ready,Liga De Futbol Prof
P. Vagic,LM,52,Sweden,Malmö FF,Allsvenskan
P. Vagić,CM; RM,59,Sweden,Malmö FF,Allsvenskan
P. Vaitsiakhovich,GK,63,Belarus,Värnamo,Allsvenskan
P. Valagussa,CDM,52,Italy,Virtus Entella Chiavari,Serie B
P. Valdivia,CM,67,France,Racing Club de Lens,Ligue 1
P. Valoyes,RB,47,Colombia,Rionegro Águilas,Liga BetPlay
P. Vaquizo,RW; RM,75,Ecuador,,
P. Vargas,CM,57,Mexico,Jaguares de Chiapas,Liga MX
P. Vassell,CM,60,Jamaica,Los Angeles FC,Major League Soccer
P. Vegetti,ST,65,Argentina,Gimnasia y Esgrima La Plata,Liga Profesional
P. Velasco,RB,65,Ecuador,,
P. Velthuizen,GK,75,Netherlands,Vitesse,Eredivisie
P. Velázquez,ST,72,Paraguay,Deportivo Toluca,Liga MX
P. Verhaegh,RB,74,Netherlands,FC Augsburg,Bundesliga
P. Verkamp,LW,59,Germany,Viktoria Berlin,3. Liga
P. Vidal,LW; ST,63,Argentina,Club Atlético Independiente,Liga Profesional
P. Vidanov,RB,61,Bulgaria,,
P. Vignaud,RB; LB,62,France,US Quevilly Rouen Métropole,Ligue 2
P. Villarronda,CDM; CM,61,Colombia,Deportivo Pasto,Liga BetPlay
P. Vincenti,RM; LM,58,England,Rochdale,League One
P. Visconti,LB,58,Italy,Avellino,Serie B
P. Vite,CM,64,Ecuador,Independiente del Valle,Liga Pro
P. Vitti,ST,69,Argentina,Club Atlético Tigre,Liga Profesional
P. Vivanco,CDM; CM,54,Peru,CD Huachipato,Primera Division
P. Vlachodimos,RW; LW,69,Greece,Nîmes Olympique,Ligue 2
P. Vogt,LB,51,Norway,Stabæk,Eliteserien
P. Vouros,CB; RB,58,Greece,Olympiacos CFP,Super League
P. Vranjicán,ST,63,Argentina,Alianza Petrolera,Liga BetPlay
P. Vroegh,CM,61,Netherlands,Vitesse,Eredivisie
P. Vílchez,ST,57,Argentina,Club Atlético Temperley,Liga Profesional
P. Wade,CDM; CM,59,France,Nice,Ligue 1
P. Waigo,ST,69,Senegal,Al Raed,Pro League
P. Waliś,CB,51,Poland,Lech Poznań,Ekstraklasa
P. Wanner,CAM; LM; RM,62,Germany,FC Bayern München,Bundesliga
P. Waring,ST,52,Australia,Melbourne Victory,A-League
P. Weah,RW; LW,58,Liberia,Minnesota United,Major League Soccer
P. Weaver,GK,47,England,Scunthorpe United,League One
P. Webber,CB,58,England,Ipswich Town,Championship
P. Webó,ST,76,Cameroon,Fenerbahçe SK,Super Lig
P. Weihrauch,CF; ST,60,Germany,FC Bayern München,Bundesliga
P. Weimar,CDM; CM,55,Germany,Bayreuth,3. Liga
P. Wernbloom,CDM,77,Sweden,PFC CSKA Moscow,Premier League
P. Wessely,LB,47,Austria,FC Flyeralarm Admira,Bundesliga
P. Westberg,CM; CAM,54,Sweden,Kalmar FF,Allsvenskan
P. Wharton,GK,49,England,Tranmere Rovers,League Two
P. White,GK,46,Republic of Ireland,Accrington Stanley,League Two
P. Whittingham,LM; CM,73,England,Cardiff City,Championship
P. Wiegers,GK,65,Germany,SG Dynamo Dresden,2. Bundesliga
P. Wieliczko,CM,49,Poland,Wisła Płock,Ekstraklasa
P. Wienhoven,CM,59,Netherlands,VVV-Venlo,Eredivisie
P. Wiese,RB; RM,53,Germany,F.C. Hansa Rostock,3. Liga
P. Wiesinger,CB,61,Austria,LASK Linz,Bundesliga
P. Will,CM,61,Germany,FC Bayern München,Bundesliga
P. Willis,LM,53,England,Middlesbrough,Championship
P. Wilson,ST,52,Sweden,GIF Sundsvall,Allsvenskan
P. Wimmer,RM; CAM,60,Austria,Austria Wien,Bundesliga
P. Witasik,CB; CDM,58,Poland,GKS Bełchatów,Ekstraklasa
P. Wiśniewski,CAM; RM; ST; LM,64,Poland,Lechia Gdańsk,Ekstraklasa
P. Wlazło,LM; CM,55,Poland,Wisła Płock,Ekstraklasa
P. Wojciechowski,ST,61,Poland,Górnik Łęczna,Ekstraklasa
P. Wojowski,CM,56,Poland,Arka Gdynia,Ekstraklasa
