name,positions,rating,club,league,nationality
Matias Fernandez-Pardo,CAM,74,Lille OSC,Ligue 1,Belgium
Armando Izzo,CB,74,Monza,Serie A,Italy
Cedric Zesiger,CB,74,FC Augsburg,Bundesliga,Switzerland
Djibril Sidibe,RB,74,Toulouse FC,Ligue 1,France
Juan Iglesias,RB,74,Getafe CF,La Liga,Spain
Domingos Duarte,CB,74,Getafe CF,La Liga,Portugal
Tom Rothe,LB,74,1. FC Union Berlin,Bundesliga,Germany
Tom Bischof,CAM,74,TSG 1899 Hoffenheim,Bundesliga,Germany
Pavel Kaderabek,RB,74,TSG 1899 Hoffenheim,Bundesliga,Czech Republic
Franco Cervi,LM,74,RC Celta,La Liga,Argentina
Wouter Goes,CB,74,AZ Alkmaar,Eredivisie,Holland
Alfon,RM,74,RC Celta,La Liga,Spain
Raul Moro,LM,74,Real Valladolid CF,La Liga,Spain
Mees Hilgers,CB,74,FC Twente,Eredivisie,Indonesia
Thomas Beelen,CB,74,Feyenoord,Eredivisie,Holland
Chiedozie Ogbene,RB,74,Ipswich Town,Premier League,Republic of Ireland
Adrian,GK,74,Real Betis Balompié,La Liga,Spain
Jannik Vestergaard,CB,74,Leicester City,Premier League,Denmark
Antonio Blanco,CDM,74,Deportivo Alavés,La Liga,Spain
Bart Nieuwkoop,RM,74,Feyenoord,Eredivisie,Holland
Cristian Casseres Jr,CDM,74,Toulouse FC,Ligue 1,Venezuela
Tasos Douvikas,ST,74,Como,Serie A,Greece
Valentin Gendrey,RB,74,TSG 1899 Hoffenheim,Bundesliga,France
Leopold Querfeld,CB,74,1. FC Union Berlin,Bundesliga,Austria
Tanner Tessmann,CDM,74,Olympique Lyonnais,Ligue 1,United States
Hugo Bueno,LB,74,Feyenoord,Eredivisie,Spain
Ilias,RW,74,Villarreal CF,La Liga,Morocco
Ryan Sessegnon,LB,74,Fulham FC,Premier League,England
Ivan Villar,GK,74,RC Celta,La Liga,Spain
Mike van der Hoorn,CB,74,FC Utrecht,Eredivisie,Holland
Steve Mounie,ST,74,FC Augsburg,Bundesliga,Benin
Lucas Da Cunha,LM,74,Como,Serie A,France
Luke Woolfenden,CB,74,Ipswich Town,Premier League,England
Kevin Muller,GK,74,1. FC Heidenheim 1846,Bundesliga,Germany
Taylor Harwood-Bellis,CB,74,Southampton,Premier League,England
Sandi Lovric,CDM,74,Udinese,Serie A,Slovenia
Daniel Maldini,CAM,74,Atalanta,Serie A,Italy
Jordan Ayew,RW,74,Leicester City,Premier League,Ghana
Assane Diao Diaoune,RM,74,Como,Serie A,Spain
Julian Araujo,RB,74,AFC Bournemouth,Premier League,Mexico
Oli McBurnie,ST,74,UD Las Palmas,La Liga,Scotland
Can Uzun,CAM,74,Eintracht Frankfurt,Bundesliga,Turkey
Casper Tengstedt,ST,74,Hellas Verona FC,Serie A,Denmark
Chrislain Matsima,CB,74,FC Augsburg,Bundesliga,France
Bojan Miovski,ST,74,Girona FC,La Liga,North Macedonia
Jesper Karlstrom,CDM,74,Udinese,Serie A,Sweden
Adam Masina,CB,74,Torino,Serie A,Morocco
James Justin,LB,74,Leicester City,Premier League,England
Tomas Chancalay,LM,74,New England Revolution,Major League Soccer,Argentina
Tom Cairney,CM,74,Fulham FC,Premier League,Scotland
Jofre,RM,74,RCD Espanyol,La Liga,Spain
Abner Vinicius,LB,74,Olympique Lyonnais,Ligue 1,Brazil
Denis Suarez,CM,74,Villarreal CF,La Liga,Spain
Carlos Romero,LB,74,RCD Espanyol,La Liga,Spain
Juan Cruz,LB,74,CA Osasuna,La Liga,Spain
Juan Cruz,LM,74,CA Osasuna,La Liga,Spain
Kike Salas,CB,74,Sevilla FC,La Liga,Spain
Saba Lobjanidze,RW,74,Atlanta United,Major League Soccer,Georgia
Kevin Akpoguma,CB,74,TSG 1899 Hoffenheim,Bundesliga,Nigeria
Christian Mawissa,CB,74,AS Monaco,Ligue 1,France
Joseph Okumu,CB,74,Stade de Reims,Ligue 1,Kenya
Oliver Skipp,CDM,74,Leicester City,Premier League,England
Juan Cruz,LB,74,CD Leganés,La Liga,Spain
Juan Cruz,LM,74,CD Leganés,La Liga,Spain
Frederic Guilbert,RB,74,Lecce,Serie A,France
Felix Agu,LB,74,SV Werder Bremen,Bundesliga,Germany
Alfred Duncan,CM,74,Venezia,Serie A,Ghana
Alena,CM,74,Deportivo Alavés,La Liga,Spain
Alidu Seidu,CB,74,Stade Rennais FC,Ligue 1,Ghana
Lucien Agoume,CM,74,Sevilla FC,La Liga,France
Gift Orban,ST,74,TSG 1899 Hoffenheim,Bundesliga,Nigeria
Gianluca Busio,CM,74,Venezia,Serie A,United States
Tommaso Pobega,CM,74,Bologna,Serie A,Italy
Diadie Samassekou,CDM,74,TSG 1899 Hoffenheim,Bundesliga,Mali
Nicolas Valentini,CB,74,Hellas Verona FC,Serie A,Argentina
Eric Smith,CB,74,FC St. Pauli,Bundesliga,Sweden
Caleb Okoli,CB,74,Leicester City,Premier League,Italy
Leo Roman,GK,74,RCD Mallorca,La Liga,Spain
Mandela Keita,CDM,74,Parma,Serie A,Belgium
Patrick Ciurria,RM,74,Monza,Serie A,Italy
Felix Lemarechal,CAM,74,RC Strasbourg Alsace,Ligue 1,France
Janik Haberer,CM,74,1. FC Union Berlin,Bundesliga,Germany
Ulisses Garcia,LB,74,Olympique de Marseille,Ligue 1,Switzerland
Vasilios Barkas,GK,74,FC Utrecht,Eredivisie,Greece
Tommy Doyle,CM,74,Wolverhampton Wanderers,Premier League,England
Dimitri Foulquier,RB,74,Valencia CF,La Liga,France
Dimitris Giannoulis,LB,74,FC Augsburg,Bundesliga,Greece
Giovanni Fabbian,CM,74,Bologna,Serie A,Italy
Jacob Bruun Larsen,LM,74,VfB Stuttgart,Bundesliga,Denmark
Jens Odgaard,ST,74,Bologna,Serie A,Denmark
Kike Barja,RM,74,CA Osasuna,La Liga,Spain
Alvaro Tejero,RB,74,RCD Espanyol,La Liga,Spain
Alex Scott,CM,74,AFC Bournemouth,Premier League,England
Yorbe Vertessen,ST,74,FC Red Bull Salzburg,Bundesliga,Belgium
Kamory Doumbia,CAM,74,Stade Brestois 29,Ligue 1,Mali
Philippe Sandler,CB,74,NEC Nijmegen,Eredivisie,Holland
Jakob Glesnes,CB,74,Philadelphia Union,Major League Soccer,Norway
Eddie Nketiah,ST,74,Crystal Palace,Premier League,England
Borna Sosa,LB,74,Torino,Serie A,Croatia
Danny da Costa,RB,74,1. FSV Mainz 05,Bundesliga,Germany
Joe Scally,RB,74,Borussia Mönchengladbach,Bundesliga,United States
Youssoufa Moukoko,ST,74,OGC Nice,Ligue 1,Germany
Cedric Kipre,CB,74,Stade de Reims,Ligue 1,Côte d'Ivoire
Carreira,RB,74,RC Celta,La Liga,Spain
Marvin Pieringer,ST,74,1. FC Heidenheim 1846,Bundesliga,Germany
Robin Olsen,GK,74,Aston Villa,Premier League,Sweden
Alvaro Djalo,RM,74,Athletic Club,La Liga,Spain
Hauke Wahl,CB,74,FC St. Pauli,Bundesliga,Germany
Pablo Torre,CAM,74,FC Barcelona,La Liga,Spain
Robert Navarro,LM,74,RCD Mallorca,La Liga,Spain
Valentino Lazaro,LM,74,Torino,Serie A,Austria
Samuele Birindelli,RB,74,Monza,Serie A,Italy
Juanpe,CB,74,Girona FC,La Liga,Spain
Juanpe,CM,74,Girona FC,La Liga,Spain
Rafa Mir,ST,74,Valencia CF,La Liga,Spain
Pedro Diaz,CM,74,Rayo Vallecano,La Liga,Spain
Pedro Diaz,GK,74,Rayo Vallecano,La Liga,Spain
Jonas Urbig,GK,74,FC Bayern München,Bundesliga,Germany
Karol Linetty,CM,74,Torino,Serie A,Poland
Liel Abada,RW,74,Charlotte FC,Major League Soccer,Israel
Sam Lammers,ST,74,FC Twente,Eredivisie,Holland
Jorge Cuenca,CB,74,Fulham FC,Premier League,Spain
Sergio,CB,74,CD Leganés,La Liga,Spain
Sergio,GK,74,CD Leganés,La Liga,Spain
Fabio Carvalho,CAM,74,Brentford,Premier League,Portugal
Nicolas Hofler,CDM,74,SC Freiburg,Bundesliga,Germany
Lassana Coulibaly,CDM,74,Lecce,Serie A,Mali
Tomas Conechny,LW,74,Deportivo Alavés,La Liga,Argentina
Ryan Manning,LB,74,Southampton,Premier League,Republic of Ireland
Jack Clarke,LM,74,Ipswich Town,Premier League,England
Peque,CAM,74,Sevilla FC,La Liga,Spain
Andres Cubas,CDM,74,Vancouver Whitecaps FC,Major League Soccer,Paraguay
Rogerio,LB,74,VfL Wolfsburg,Bundesliga,Brazil
Gijs Smal,LM,74,Feyenoord,Eredivisie,Holland
Ardian Ismajli,CB,74,Empoli,Serie A,Albania
Ramiz Zerrouki,CDM,74,Feyenoord,Eredivisie,Algeria
Flynn Downes,CDM,74,Southampton,Premier League,England
Massadio Haidara,CB,74,Stade Brestois 29,Ligue 1,Mali
Alvaro,ST,74,Sevilla FC,La Liga,Uruguay
Brajan Gruda,CAM,74,Brighton & Hove Albion,Premier League,Germany
Eric Bailly,CB,74,Villarreal CF,La Liga,Côte d'Ivoire
Angelo Fulgini,CAM,74,RC Lens,Ligue 1,France
Sergio Camello,ST,74,Rayo Vallecano,La Liga,Spain
Arnaud Nordin,RM,74,1. FSV Mainz 05,Bundesliga,France
Oscar,CM,74,CD Leganés,La Liga,Spain
Sebastiaan Bornauw,CB,74,VfL Wolfsburg,Bundesliga,Belgium
Abdallah Sima,LM,74,Stade Brestois 29,Ligue 1,Senegal
Fabian Rieder,CAM,74,VfB Stuttgart,Bundesliga,Switzerland
Anass Zaroury,LM,74,RC Lens,Ligue 1,Morocco
Antonino Gallo,LB,74,Lecce,Serie A,Italy
Yoan Bonny,ST,74,Parma,Serie A,France
Juanlu Sanchez,RB,74,Sevilla FC,La Liga,Spain
Michael Keane,CB,74,Everton,Premier League,England
Renato Veiga,CDM,74,Juventus,Serie A,Portugal
Andras Schafer,CM,74,1. FC Union Berlin,Bundesliga,Hungary
Wilson Odobert,LM,74,Tottenham Hotspur,Premier League,France
Alex Kral,CDM,74,RCD Espanyol,La Liga,Czechia
Zakaria Aboukhlal,RM,74,Toulouse FC,Ligue 1,Morocco
Maxwel Cornet,LM,74,Genoa,Serie A,Côte d'Ivoire
Craig Dawson,CB,74,Wolverhampton Wanderers,Premier League,England
Marius Muller,GK,74,VfL Wolfsburg,Bundesliga,Germany
Albert Rusnak,CAM,74,Seattle Sounders FC,Major League Soccer,Slovakia
Cristian Roldan,RM,74,Seattle Sounders FC,Major League Soccer,United States
Eduard Lowen,CM,74,St. Louis CITY SC,Major League Soccer,Germany
Yunus Musah,CM,74,AC Milan,Serie A,United States
Mergim Vojvoda,LM,74,Como,Serie A,Kosovo
Lucas Stassin,ST,73,AS Saint-Étienne,Ligue 1,Belgium
Dani de Wit,CAM,73,VfL Bochum 1848,Bundesliga,Holland
Villalibre,ST,73,Deportivo Alavés,La Liga,Spain
Luka Ivanusec,LW,73,Feyenoord,Eredivisie,Croatia
Antoine Makoumbou,CDM,73,Cagliari,Serie A,Congo
Josef Martinez,ST,73,San Jose Earthquakes,Major League Soccer,Venezuela
Miha Zajc,CM,73,Toulouse FC,Ligue 1,Slovenia
Dennis Geiger,CDM,73,TSG 1899 Hoffenheim,Bundesliga,Germany
Dimitry Bertaud,GK,73,Montpellier HSC,Ligue 1,Congo DR
Mads Pedersen,LB,73,FC Augsburg,Bundesliga,Denmark
Philipp Treu,LB,73,FC St. Pauli,Bundesliga,Germany
Andres Garcia,RM,73,Aston Villa,Premier League,Spain
Daniel,GK,73,San Jose Earthquakes,Major League Soccer,Brazil
Armando Broja,ST,73,Everton,Premier League,Albania
Juan Bernat,LB,73,Getafe CF,La Liga,Spain
Luca Netz,LB,73,Borussia Mönchengladbach,Bundesliga,Germany
Philipp Hofmann,ST,73,VfL Bochum 1848,Bundesliga,Germany
Ngal'ayel Mukau,CDM,73,Lille OSC,Ligue 1,Congo DR
Noah Weißhaupt,LM,73,FC St. Pauli,Bundesliga,Germany
Akor Jerome Adams,ST,73,Sevilla FC,La Liga,Nigeria
Abdou Harroui,CM,73,Hellas Verona FC,Serie A,Morocco
Pedro Chirivella,CDM,73,FC Nantes,Ligue 1,Spain
Armando Obispo,CB,73,PSV,Eredivisie,Holland
Danny Ings,ST,73,West Ham United,Premier League,England
Nadir Zortea,RB,73,Cagliari,Serie A,Italy
Evan Ferguson,ST,73,West Ham United,Premier League,Republic of Ireland
El Chadaille Bitshiabu,CB,73,RB Leipzig,Bundesliga,France
Zack Steffen,GK,73,Colorado Rapids,Major League Soccer,United States
Marcus Holmgren Pedersen,RM,73,Torino,Serie A,Norway
Kilian Fischer,RB,73,VfL Wolfsburg,Bundesliga,Germany
Wout Faes,CB,73,Leicester City,Premier League,Belgium
Lennard Maloney,CDM,73,1. FSV Mainz 05,Bundesliga,United States
Pedro De la Vega,RW,73,Seattle Sounders FC,Major League Soccer,Argentina
Marc-Oliver Kempf,CB,73,Como,Serie A,Germany
Matus Bero,CM,73,VfL Bochum 1848,Bundesliga,Slovakia
Danilo D'Ambrosio,CB,73,Monza,Serie A,Italy
Emil Krafth,RB,73,Newcastle United,Premier League,Sweden
Haris Tabakovic,ST,73,TSG 1899 Hoffenheim,Bundesliga,Bosnia and Herzegovina
Jeong Woo Yeong,CAM,73,1. FC Union Berlin,Bundesliga,Korea Republic
Lassine Sinayoko,RM,73,AJ Auxerre,Ligue 1,Mali
Massimo Luongo,CDM,73,Ipswich Town,Premier League,Australia
Gabriele Zappa,RB,73,Cagliari,Serie A,Italy
Mostafa Mohamed,ST,73,FC Nantes,Ligue 1,Egypt
El Bilal Toure,ST,73,VfB Stuttgart,Bundesliga,Mali
Ivan Ordets,CB,73,VfL Bochum 1848,Bundesliga,Ukraine
Antoine Bernede,CM,73,Hellas Verona FC,Serie A,France
Modibo Sagnan,CB,73,Montpellier HSC,Ligue 1,Mali
Jurgen Ekkelenkamp,CAM,73,Udinese,Serie A,Holland
Amos Pieper,CB,73,SV Werder Bremen,Bundesliga,Germany
Federico Redondo,CM,73,Inter Miami,Major League Soccer,Argentina
Klauss,ST,73,St. Louis CITY SC,Major League Soccer,Brazil
Mikael Uhre,ST,73,Philadelphia Union,Major League Soccer,Denmark
Lesley Ugochukwu,CDM,73,Southampton,Premier League,France
Ivan Sanchez,RM,73,Real Valladolid CF,La Liga,Spain
Daniel Peretz,GK,73,FC Bayern München,Bundesliga,Israel
Amar Dedic,RB,73,Olympique de Marseille,Ligue 1,Bosnia and Herzegovina
Obinna Nwobodo,CDM,73,FC Cincinnati,Major League Soccer,Nigeria
Kiliann Sildillia,RB,73,SC Freiburg,Bundesliga,France
Kelvin Amian,RB,73,FC Nantes,Ligue 1,France
Thierno Barry,ST,73,Villarreal CF,La Liga,France
Julian Carranza,ST,73,Feyenoord,Eredivisie,Argentina
David Jurasek,LB,73,TSG 1899 Hoffenheim,Bundesliga,Czech Republic
Martin Payero,CM,73,Udinese,Serie A,Argentina
Mika Godts,LW,73,Ajax,Eredivisie,Belgium
Fisayo Dele-Bashiru,CAM,73,Lazio,Serie A,Nigeria
Nediljko Labrovic,GK,73,FC Augsburg,Bundesliga,Croatia
Mads Roerslev,RB,73,VfL Wolfsburg,Bundesliga,Denmark
Sebastiano Esposito,ST,73,Empoli,Serie A,Italy
Jorge Saenz,CB,73,CD Leganés,La Liga,Spain
Patrick Drewes,GK,73,VfL Bochum 1848,Bundesliga,Germany
Myron Boadu,ST,73,VfL Bochum 1848,Bundesliga,Holland
Gideon Mensah,LB,73,AJ Auxerre,Ligue 1,Ghana
Maxi Moralez,CAM,73,New York City FC,Major League Soccer,Argentina
Amir Richardson,CM,73,Fiorentina,Serie A,Morocco
Will Smallbone,CM,73,Southampton,Premier League,Republic of Ireland
Eldor Shomurodov,ST,73,Roma,Serie A,Uzbekistan
Arouna Sangante,CB,73,Le Havre AC,Ligue 1,Senegal
Gianluca Gaetano,CAM,73,Cagliari,Serie A,Italy
Silvan Widmer,RB,73,1. FSV Mainz 05,Bundesliga,Switzerland
Mihailo Ristic,LB,73,RC Celta,La Liga,Serbia
Alexandre Penetra,CB,73,AZ Alkmaar,Eredivisie,Portugal
Ashley Westwood,CDM,73,Charlotte FC,Major League Soccer,England
Nathan Broadhead,LM,73,Ipswich Town,Premier League,Wales
Javi Lopez,LB,73,Real Sociedad,La Liga,Spain
Javi Lopez,RB,73,Real Sociedad,La Liga,Spain
Leonardo Bittencourt,CAM,73,SV Werder Bremen,Bundesliga,Germany
Pol Lirola,RB,73,Olympique de Marseille,Ligue 1,Spain
Erik Thommy,CM,73,Sporting Kansas City,Major League Soccer,Germany
Nicolas Viola,CAM,73,Cagliari,Serie A,Italy
Martin Ojeda,CAM,73,Orlando City SC,Major League Soccer,Argentina
Nicolas Lodeiro,CAM,73,Houston Dynamo,Major League Soccer,Uruguay
Randy Nteka,ST,73,Rayo Vallecano,La Liga,France
Michael Kayode,RB,73,Brentford,Premier League,Italy
Irvin Cardona,ST,73,AS Saint-Étienne,Ligue 1,France
Aron Dønnum,RM,73,Toulouse FC,Ligue 1,Norway
Flavius Daniliuc,CB,73,Hellas Verona FC,Serie A,Austria
Cameron Archer,ST,73,Southampton,Premier League,England
Jonny Evans,CB,73,Manchester United,Premier League,Northern Ireland
Shuto Machino,ST,73,Holstein Kiel,Bundesliga,Japan
Soumaila Coulibaly,CB,73,Stade Brestois 29,Ligue 1,France
Lucas Holer,ST,73,SC Freiburg,Bundesliga,Germany
Timo Horn,GK,73,VfL Bochum 1848,Bundesliga,Germany
Abdelkabir Abqar,CB,73,Deportivo Alavés,La Liga,Morocco
Issa Kabore,RB,73,SV Werder Bremen,Bundesliga,Burkina Faso
Joao Paulo,CDM,73,Seattle Sounders FC,Major League Soccer,Brazil
Gavin Bazunu,GK,73,Southampton,Premier League,Republic of Ireland
Orri Oskarsson,ST,73,Real Sociedad,La Liga,Iceland
Lorenzo Colombo,ST,73,Empoli,Serie A,Italy
Joe Aribo,CM,73,Southampton,Premier League,Nigeria
Joaquin Pereyra,LM,73,Minnesota United FC,Major League Soccer,Argentina
Joaquin Pereyra,LB,73,Minnesota United FC,Major League Soccer,Argentina
Tomas Cvancara,ST,73,Borussia Mönchengladbach,Bundesliga,Czechia
Mama Balde,ST,73,Stade Brestois 29,Ligue 1,Guinea-Bissau
Fredrik Jensen,CAM,73,FC Augsburg,Bundesliga,Finland
Ricky van Wolfswinkel,ST,73,FC Twente,Eredivisie,Holland
Leo Scienza,LM,73,1. FC Heidenheim 1846,Bundesliga,Brazil
Luca Orellano,LM,73,FC Cincinnati,Major League Soccer,Argentina
Oliver Antman,RW,73,Go Ahead Eagles,Eredivisie,Finland
Jan Bednarek,CB,73,Southampton,Premier League,Poland
Emanuele Valeri,LB,73,Parma,Serie A,Italy
Yunis Abdelhamid,CB,73,AS Saint-Étienne,Ligue 1,Morocco
Chrisantus Uche,CDM,73,Getafe CF,La Liga,Nigeria
Soungoutou Magassa,CB,73,AS Monaco,Ligue 1,France
Nicolo Cambiaghi,LW,73,Bologna,Serie A,Italy
Darko Lazovic,LM,73,Hellas Verona FC,Serie A,Serbia
Jean-Matteo Bahoya,LM,73,Eintracht Frankfurt,Bundesliga,France
Gumbau,CM,73,Rayo Vallecano,La Liga,Spain
Nick Viergever,CB,73,FC Utrecht,Eredivisie,Holland
Calero,CB,73,RCD Espanyol,La Liga,Spain
Jakub Moder,CM,73,Feyenoord,Eredivisie,Poland
Jailson,CB,73,RC Celta,La Liga,Brazil
Jason Steele,GK,73,Brighton & Hove Albion,Premier League,England
Alex Palmer,GK,73,Ipswich Town,Premier League,England
Adam Smith,RB,73,AFC Bournemouth,Premier League,England
Tim Skarke,ST,73,1. FC Union Berlin,Bundesliga,Germany
Maximilian Wittek,LB,73,VfL Bochum 1848,Bundesliga,Germany
Julian Gressel,RM,73,Minnesota United FC,Major League Soccer,United States
Cameron Burgess,CB,73,Ipswich Town,Premier League,Australia
Frank Onyeka,CM,73,FC Augsburg,Bundesliga,Nigeria
Charlie Cresswell,CB,73,Toulouse FC,Ligue 1,England
Milos Veljkovic,CB,73,SV Werder Bremen,Bundesliga,Serbia
Fraser Forster,GK,73,Tottenham Hotspur,Premier League,England
Manu Fuster,LM,73,UD Las Palmas,La Liga,Spain
Aaron Cresswell,LB,73,West Ham United,Premier League,England
Elseid Hysaj,LB,73,Lazio,Serie A,Albania
Ben Johnson,RB,73,Ipswich Town,Premier League,England
Oussama Targhalline,CM,73,Feyenoord,Eredivisie,Morocco
Leo Østigard,CB,73,TSG 1899 Hoffenheim,Bundesliga,Norway
Sinaly Diomande,CB,73,AJ Auxerre,Ligue 1,Côte d'Ivoire
Aleksandar Sedlar,CB,73,Deportivo Alavés,La Liga,Serbia
Siebe Van der Heyden,CB,73,FC St. Pauli,Bundesliga,Belgium
Milan Badelj,CDM,73,Genoa,Serie A,Croatia
Cyril Ngonge,RM,73,Napoli,Serie A,Belgium
Mateusz Klich,CM,73,Atlanta United,Major League Soccer,Poland
Darko Brasanac,CM,73,CD Leganés,La Liga,Serbia
Malang Sarr,CB,73,RC Lens,Ligue 1,France
Valentin Atangana,CDM,73,Stade de Reims,Ligue 1,France
Iker Losada,RM,73,RC Celta,La Liga,Spain
Justin Njinmah,ST,73,SV Werder Bremen,Bundesliga,Germany
Miles Robinson,CB,73,FC Cincinnati,Major League Soccer,United States
Julien Le Cardinal,CB,73,Stade Brestois 29,Ligue 1,France
Matt Doherty,RB,73,Wolverhampton Wanderers,Premier League,Republic of Ireland
Tyler Dibling,RW,73,Southampton,Premier League,England
Mikkel Desler,RB,73,Austin FC,Major League Soccer,Denmark
Julio Cesar Enciso,CAM,73,Ipswich Town,Premier League,Paraguay
Arijanet Muric,GK,73,Ipswich Town,Premier League,Kosovo
Nampalys Mendy,CDM,73,RC Lens,Ligue 1,Senegal
Charalampos Lykogiannis,LB,73,Bologna,Serie A,Greece
Miguel,ST,73,CD Leganés,La Liga,Spain
Stefan Bell,CB,73,1. FSV Mainz 05,Bundesliga,Germany
Bamo Meite,CB,73,Montpellier HSC,Ligue 1,Côte d'Ivoire
Lewis Morgan,ST,73,New York Red Bulls,Major League Soccer,Scotland
Samuel Essende,ST,73,FC Augsburg,Bundesliga,France
Robin Lod,RM,73,Minnesota United FC,Major League Soccer,Finland
Kike Perez,CM,73,Venezia,Serie A,Spain
Mats Kohlert,LB,73,SC Heerenveen,Eredivisie,Germany
Abdon Prats,ST,73,RCD Mallorca,La Liga,Spain
Nicolas Pallois,CB,73,FC Nantes,Ligue 1,France
Jacob Ondrejka,LM,73,Parma,Serie A,Sweden
Brian Olivan,LB,73,RCD Espanyol,La Liga,Spain
Laszlo Benes,CM,73,1. FC Union Berlin,Bundesliga,Slovakia
Martin Erlic,CB,73,Bologna,Serie A,Croatia
Raul Garcia,ST,73,CA Osasuna,La Liga,Spain
Jean-Eudes Aholou,CM,73,Angers SCO,Ligue 1,Côte d'Ivoire
Ki-Jana Hoever,RB,73,AJ Auxerre,Ligue 1,Holland
Boubakar Kouyate,CB,73,Montpellier HSC,Ligue 1,Mali
Stefan Lainer,RB,73,Borussia Mönchengladbach,Bundesliga,Austria
Antonio Sanchez,RM,73,RCD Mallorca,La Liga,Spain
Herve Koffi,GK,73,RC Lens,Ligue 1,Burkina Faso
Pedrinho,RM,73,Shakhtar Donetsk,Premier League,Brazil
Pedrinho,LB,73,Shakhtar Donetsk,Premier League,Brazil
Niklas Stark,CB,73,SV Werder Bremen,Bundesliga,Germany
Tariq Lamptey,RB,73,Brighton & Hove Albion,Premier League,Ghana
Jordan Morris,ST,73,Seattle Sounders FC,Major League Soccer,United States
Myles Lewis-Skelly,CM,73,Arsenal,Premier League,England
Benjamin Dominguez,LM,73,Bologna,Serie A,Argentina
Javi Sanchez,CB,73,Real Valladolid CF,La Liga,Spain
Seamus Coleman,RB,73,Everton,Premier League,Republic of Ireland
Nathaniel Clyne,RB,73,Crystal Palace,Premier League,England
Paul Joly,RB,73,AJ Auxerre,Ligue 1,France
Roberto,ST,73,RCD Espanyol,La Liga,Spain
Valentin Mihaila,LM,73,Parma,Serie A,Romania
Junior Dina Ebimbe,RM,73,Eintracht Frankfurt,Bundesliga,France
Clement Akpa,LB,73,AJ Auxerre,Ligue 1,Côte d'Ivoire
Etienne Youte Kinkoue,CB,72,Le Havre AC,Ligue 1,France
Tomas Suslov,RM,72,Hellas Verona FC,Serie A,Slovakia
Falaye Sacko,RB,72,Montpellier HSC,Ligue 1,Mali
Remy Labeau Lascary,RM,72,RC Lens,Ligue 1,France
Wes Burns,RM,72,Ipswich Town,Premier League,Wales
Nemanja Radoja,CM,72,Sporting Kansas City,Major League Soccer,Serbia
Hassane Kamara,LB,72,Udinese,Serie A,Côte d'Ivoire
Francesco Zampano,LB,72,Venezia,Serie A,Italy
Morten Thorsby,CM,72,Genoa,Serie A,Norway
Joris Kramer,CB,72,Go Ahead Eagles,Eredivisie,Holland
Tai Baribo,ST,72,Philadelphia Union,Major League Soccer,Israel
Fran Perez,RM,72,Valencia CF,La Liga,Spain
Kassoum Ouattara,LB,72,AS Monaco,Ligue 1,France
Matt Miazga,CB,72,FC Cincinnati,Major League Soccer,United States
Sergi Canos,LM,72,Valencia CF,La Liga,Spain
Niklas Schmidt,CM,72,Toulouse FC,Ligue 1,Germany
Ismael Kone,CM,72,Stade Rennais FC,Ligue 1,Canada
Lukas Ullrich,LB,72,Borussia Mönchengladbach,Bundesliga,Germany
Andrew Omobamidele,CB,72,RC Strasbourg Alsace,Ligue 1,Republic of Ireland
Christos Mandas,GK,72,Lazio,Serie A,Greece
Gabriel Osho,CB,72,AJ Auxerre,Ligue 1,Nigeria
Benedikt Gimber,CB,72,1. FC Heidenheim 1846,Bundesliga,Germany
Enzo Loiodice,CM,72,UD Las Palmas,La Liga,France
Dennis Appiah,RB,72,AS Saint-Étienne,Ligue 1,France
Grigoris Kastanos,CAM,72,Hellas Verona FC,Serie A,Cyprus
Sael Kumbedi,RB,72,Olympique Lyonnais,Ligue 1,France
Steven Skrzybski,ST,72,Holstein Kiel,Bundesliga,Germany
Anthony Jung,CB,72,SV Werder Bremen,Bundesliga,Germany
Giuseppe Pezzella,LB,72,Empoli,Serie A,Italy
Luca Langoni,RM,72,New England Revolution,Major League Soccer,Argentina
Maarten Paes,GK,72,FC Dallas,Major League Soccer,Indonesia
Youri Baas,LB,72,Ajax,Eredivisie,Holland
Owen Wijndal,LB,72,Ajax,Eredivisie,Holland
Giorgos Kyriakopoulos,LB,72,Monza,Serie A,Greece
Wahbi Khazri,ST,72,Montpellier HSC,Ligue 1,Tunisia
Jean-Daniel Akpa Akpro,CM,72,Monza,Serie A,Côte d'Ivoire
Farid El Melali,LM,72,Angers SCO,Ligue 1,Algeria
Edoardo Goldaniga,CB,72,Como,Serie A,Italy
Youssef Maleh,CM,72,Empoli,Serie A,Morocco
Dinko Horkas,GK,72,UD Las Palmas,La Liga,Croatia
Javi Hernandez,LB,72,CD Leganés,La Liga,Spain
Javi Hernandez,CAM,72,CD Leganés,La Liga,Spain
Javi Hernandez,RM,72,CD Leganés,La Liga,Spain
Yassine Kechta,CM,72,Le Havre AC,Ligue 1,Morocco
Ryan Hollingshead,RB,72,Los Angeles FC,Major League Soccer,United States
Osman Bukari,RW,72,Austin FC,Major League Soccer,Ghana
Herrando,CB,72,CA Osasuna,La Liga,Spain
Patson Daka,ST,72,Leicester City,Premier League,Zambia
Ibrahim Sissoko,ST,72,AS Saint-Étienne,Ligue 1,Mali
Tete Morente,LM,72,Lecce,Serie A,Spain
Jim Allevinah,RM,72,Angers SCO,Ligue 1,Gabon
Zarraga,CM,72,Udinese,Serie A,Spain
Elisha Owusu,CDM,72,AJ Auxerre,Ligue 1,Ghana
