name,positions,rating,club,league,nationality
Nikolas Polster,GK,61,Wolfsberger AC,Ö. Bundesliga,Austria
Markus Poom,CM,61,Shamrock Rovers,SSE Airtricity PD,Estonia
Darragh Power,RB,61,Waterford,SSE Airtricity PD,Republic of Ireland
Darren Pratley,CDM;CM,61,Leyton Orient,EFL League One,England
Adrian Przyborek,RM;CAM;LM;RW,61,Pogoń Szczecin,PKO BP Ekstraklasa,Poland
Mehdi Puch,CDM,61,AC Ajaccio,Ligue 2 BKT,Algeria
Florin Purece,CM;CAM,61,Unirea Slobozia,SUPERLIGA,Romania
Joshua Putze,CDM;CM,61,Energie Cottbus,3. Liga,Germany
Andreas Pyndt,CM;CDM,61,IK Sirius,Allsvenskan,Denmark
Mohammed Qasem,LB,61,Al Qadisiyah,ROSHN Saudi League,Saudi Arabia
Valentino Quintero,GK,61,Rosario Central,Libertadores,Argentina
Abdullah Radif,ST,61,Ettifaq FC,ROSHN Saudi League,Saudi Arabia
Tiago Machado,ST,61,Boavista FC,Liga Portugal,Portugal
Denilzon Ramallo,CM,61,Universitario,Sudamericana,Bolivia
Connor Randall,CM;CDM;RB,61,Ross County,Scottish Prem,England
Rao Weihui,LB;CB,61,Meizhou Hakka FC,CSL,China PR
Joshua Rawlins,RB;CB,61,Melb. Victory,A-League,Australia
Tomás Rayer,RM;RW,61,S. Trinidense,Sudamericana,Argentina
Jeremía Recoba,CAM;CM,61,Nacional,Libertadores,Italy
Leon Reichardt,CB;LB,61,VfB Stuttgart II,3. Liga,Germany
Peter Reinhardsen,RB,61,Sarpsborg 08,Eliteserien,Norway
Jesper Reitan-Sunde,RW;LW;RM,61,Rosenborg BK,Eliteserien,Norway
Pau Resta,CB,61,Korona Kielce,PKO BP Ekstraklasa,Spain
Callum Reynolds,CB,61,Bromley FC,EFL League Two,England
Will Richmond,LM;LW,61,SJ Earthquakes,MLS,United States
Lucas Ricoy,ST,61,Burgos CF,LALIGA HYPERMOTION,Spain
Chris Rigg,CM;RM;RW,61,Sunderland,EFL Championship,England
José Río,GK,61,Danubio,Sudamericana,Uruguay
Alessio Rizza,LB,61,Cittadella,Serie BKT,Italy
Scott Robertson,CM;CDM,61,Notts County,EFL League Two,Scotland
Ethan Robson,CM;CDM,61,Carlisle United,EFL League Two,England
Raúl Rocabado,CAM;LM;LW,61,Universitario,Sudamericana,Bolivia
Clément Rodrigues,ST,61,SC Bastia,Ligue 2 BKT,France
Agustín Rodríguez,CAM;LW,61,Lanús,Sudamericana,Argentina
Franco Agustín Romero,CDM;CM,61,Ind. Rivadavia,Primera División,Argentina
Jakob Napoleon Romsaas,ST;CAM,61,Tromsø IL,Eliteserien,Norway
Dayle Rooney,LM;LW,61,Bohemians,SSE Airtricity PD,Republic of Ireland
Lucas Röser,ST,61,SSV Ulm 1846,Bundesliga 2,Germany
Francesco Rossi,GK,61,Bergamo Calcio,Serie A Enilive,Italy
Michael Ruhs,ST;LM;RM,61,Western United,A-League,Australia
Felix Ruschke,LB;CB;RB,61,FC Hansa Rostock,3. Liga,Germany
Tate Russell,RB,61,Western United,A-League,Australia
Ignacio Russo,ST,61,Instituto,Primera División,Argentina
Facundo Russo,RM;RW,61,Platense,Primera División,Argentina
Pablo Sáenz,ST;CAM;LM,61,Granada CF,LALIGA HYPERMOTION,Spain
Taha Şahin,RB,61,Çaykur Rizespor,Trendyol Süper Lig,Turkey
Saldaña,GK,61,FC Cartagena,LALIGA HYPERMOTION,Spain
Enes Sali,LW;RW;LM,61,FC Dallas,MLS,Romania
Jasper Samooja,GK,61,Lecce,Serie A Enilive,Finland
Alex Samuel,ST,61,Ross County,Scottish Prem,Wales
Jack Sanders,CB;RB,61,St. Johnstone,Scottish Prem,England
Sidi Sané,ST;LM,61,Braunschweig,Bundesliga 2,Germany
Alejandro Santander,GK,61,Cobresal,Libertadores,Chile
Sais Santibáñez,LB,61,UCV,Sudamericana,Peru
Toby Savin,GK,61,Shrewsbury,EFL League One,England
Joe Sbarra,CAM;CM;LM,61,Doncaster,EFL League Two,England
Benjamín Schamine,CM;CAM;RW,61,Defensa,Sudamericana,Argentina
Johannes Schenk,GK,61,Preußen Münster,Bundesliga 2,Germany
Danny Schmidt,CAM;ST,61,Düsseldorf,Bundesliga 2,Germany
Tate Schmitt,LB;LM,61,Houston Dynamo,MLS,United States
Florian Schock,GK,61,Düsseldorf,Bundesliga 2,Germany
Oscar Schwartau,CAM;ST,61,Norwich,EFL Championship,Denmark
James Scott,ST,61,St. Mirren,Scottish Prem,Scotland
Alexander Sebald,GK,61,Energie Cottbus,3. Liga,Germany
Alexis Segovia,RM;RW,61,Central Córdoba,Primera División,Argentina
Diego Segovia,GK,61,Independiente,Primera División,Uruguay
Cory Sene,CB,61,Viktoria Plzeň,Česká Liga,Senegal
Jack Senior,LB;CB,61,Doncaster,EFL League Two,England
Junior Senneville,RB,61,USL Dunkerque,Ligue 2 BKT,France
Daniel Șerbănică,LB,61,Unirea Slobozia,SUPERLIGA,Romania
André Seruca,CDM;CB,61,Farense,Liga Portugal,Portugal
Laorent Shabani,LW;LM,61,IFK Norrköping,Allsvenskan,Albania
Teddy Sharman-Lowe,GK,61,Doncaster,EFL League Two,England
Florent Shehu,RM;CAM;RW,61,Adana Demirspor,Trendyol Süper Lig,Albania
Shen Zigui,LM;LW,61,Shanghai Port FC,CSL,Chinese Taipei
Shi Xiaotian,GK,61,Qingdao W. Coast,CSL,China PR
Artur Siemaszko,RM;RW,61,Puszcza,PKO BP Ekstraklasa,Poland
Ísak Andri Sigurgeirsson,LW;LM,61,IFK Norrköping,Allsvenskan,Iceland
Robert Silaghi,CAM;LM;RM,61,FC Univ. Cluj,SUPERLIGA,Romania
Rodrigo Duarte,RW;LW;RM,61,Vitória SC,Liga Portugal,Portugal
Facundo Silvestre,CM;CDM,61,Danubio,Sudamericana,Uruguay
Moonga Simba,RW;RM,61,SK Brann,Eliteserien,Sweden
Manvir Singh,RM;LM;RW,61,Mohun Bagan SG,ISL,India
Chinglensana Singh,CB,61,Bengaluru FC,ISL,India
Prabhsukhan Singh Gill,GK,61,East Bengal,ISL,India
Laurs Skjellerup,ST,61,IFK Göteborg,Allsvenskan,Denmark
Jordan Smith,GK,61,Hibernian,Scottish Prem,England
Grant Smith,GK,61,Bromley FC,EFL League Two,England
Tyler Smith,ST,61,Bradford City,EFL League Two,England
Kacper Smoliński,CM,61,Pogoń Szczecin,PKO BP Ekstraklasa,Poland
Song Long,LB,61,Qingdao Hainiu,CSL,China PR
Song Si Woo,ST;RM,61,Incheon United,K League 1,Korea Republic
Jude Soonsup-Bell,ST;LM;RM,61,Córdoba CF,LALIGA HYPERMOTION,England
Tore André Sørås,CM;CAM,61,HamKam Fotball,Eliteserien,Norway
Maxime Soulas,CB,61,Sønderjyske,3F Superliga,France
Ole Springer,GK,61,Rot-Weiss Essen,3. Liga,Germany
Jason Sraha,CB;LB,61,Burton Albion,EFL League One,England
Luka Stankovski,CM;CAM;CDM,61,Gaziantep,Trendyol Süper Lig,North Macedonia
Mateusz Stępień,RM;RW,61,Stal Mielec,PKO BP Ekstraklasa,Poland
Lennart Stoll,RM;CB;RW,61,SSV Ulm 1846,Bundesliga 2,Germany
Tony Strata,LB;RB,61,AC Ajaccio,Ligue 2 BKT,Romania
Yasir Subaşı,LB,61,Konyaspor,Trendyol Süper Lig,Turkey
Sun Jie,CB,61,Qingdao W. Coast,CSL,China PR
Mahamadou Susoho,CDM;CM,61,Peterborough,EFL League One,Spain
Levi Sutton,CDM;CM,61,Harrogate Town,EFL League Two,England
Jonathan Svedberg,CM,61,Halmstads BK,Allsvenskan,Sweden
Remi-André Svindland,RW;CM;RM,61,KFUM-Kameratene,Eliteserien,Norway
Lamine Sy,RB,61,SM Caen,Ligue 2 BKT,France
Levente Szabó,ST,61,Braunschweig,Bundesliga 2,Hungary
Tunahan Taşçı,LM;RM;LW,61,Konyaspor,Trendyol Süper Lig,Turkey
Max Taylor,CB,61,Morecambe,EFL League Two,England
Martín Tejón,CAM;RW,61,Valencia CF,LALIGA EA SPORTS,Spain
Jonas Therkelsen,CM,61,Strømsgodset IF,Eliteserien,Norway
Jordan Thomas,RM;RW,61,Cheltenham Town,EFL League Two,England
Kosi Thompson,RB;RM;CM,61,Toronto FC,MLS,Canada
Ross Tierney,CAM;CM,61,Bohemians,SSE Airtricity PD,Republic of Ireland
Scott Tiffoney,ST;LM,61,Dundee FC,Scottish Prem,Scotland
Antonio Tikvić,CB,61,Watford,EFL Championship,Croatia
Callum Timmins,CM;CDM;ST,61,Newcastle Jets,A-League,Australia
Lorent Tolaj,ST,61,Port Vale,EFL League Two,Switzerland
Mohammed Tolba,RB;CB,61,VfL Bochum 1848,Bundesliga,Germany
Hubert Tomalski,LM;RM;LW,61,Puszcza,PKO BP Ekstraklasa,Poland
Tong Lei,RB,61,Shandong Taishan,CSL,China PR
Richard Torales,ST,61,S. Ameliano,Sudamericana,Paraguay
Cristian Toro,CB,61,Cobresal,Libertadores,Chile
Gonzalo Torres,ST;LM,61,Godoy Cruz,Primera División,Argentina
David Toshevski,ST,61,Austria Klagenfurt,Ö. Bundesliga,North Macedonia
Samson Tovide,ST,61,Colchester,EFL League Two,England
Mai Traore,ST,61,Fredrikstad FK,Eliteserien,Guinea
Daniel Trejo,LM;LW,61,Korona Kielce,PKO BP Ekstraklasa,Mexico
Ryan Trevitt,CM,61,Brentford,Premier League,England
Tein Troost,GK,61,NAC Breda,Eredivisie,Holland
Rooney Troya,CDM;RB,61,U. Católica,Sudamericana,Ecuador
Niko Tsakiris,CAM;CM,61,SJ Earthquakes,MLS,United States
Viktor Tsukanov,CM,61,Shakhtar Donetsk,Ukrayina Liha,Ukraine
Fofin Turay,LM;LW,61,FC Groningen,Eredivisie,Holland
Luke Turner,CB;RB;LB,61,St. Pats,SSE Airtricity PD,Republic of Ireland
Denys Tvardovskyi,GK,61,Shakhtar Donetsk,Ukrayina Liha,Ukraine
Harry Tyrer,GK,61,Everton,Premier League,England
Christoph Urdl,RW;RM,61,TSV Hartberg,Ö. Bundesliga,Austria
Tariq Uwakwe,LB;CDM,61,Swindon Town,EFL League Two,England
Javier Uzeda,CAM;LM,61,Bolívar,Libertadores,Bolivia
Tim van de Loo,CDM,61,RKC Waalwijk,Eredivisie,Holland
Mikki van Sas,GK,61,Feyenoord,Eredivisie,Holland
Sebastián Vargas,LM;LB;LW,61,Club Nacional,Sudamericana,Paraguay
Ronald Vega,CB,61,ADT,Sudamericana,Peru
Antonio Vergara,CAM;CM,61,Reggiana,Serie BKT,Italy
Charles Vernam,LM;RM;LW,61,Grimsby Town,EFL League Two,England
Vladan Vidaković,CDM,61,Yverdon Sport FC,CSSL,Serbia
Marc Vidal,GK,61,RC Celta,LALIGA EA SPORTS,Spain
Kauã Santos,GK,61,Frankfurt,Bundesliga,Brazil
Rodrigo Villalba,RM;RW,61,Libertad,Libertadores,Paraguay
Sergio Villamíl,CM;CDM,61,Real Tomayapo,Sudamericana,Bolivia
Malcolm Viltard,CDM;CM,61,FCV Dender EH,1A Pro League,France
Rasmus Vinderslev,CDM;CM,61,Sønderjyske,3F Superliga,Denmark
Sascha Voelcke,LB;LM,61,SV Waldhof,3. Liga,Germany
Robert Voloder,CB;LB,61,Sporting KC,MLS,Germany
Bobby Wales,ST,61,Kilmarnock,Scottish Prem,Scotland
Brad Walker,CM;CDM;CB,61,Tranmere Rovers,EFL League Two,England
Reuell Walters,RB;CB,61,Luton Town,EFL Championship,England
August Wängberg,RB,61,GAIS,Allsvenskan,Sweden
Ben Warland,CB,61,Brisbane Roar,A-League,Australia
Charlie Webster,CAM;CM;LM,61,Burton Albion,EFL League One,England
Tom White,CDM;CM,61,Morecambe,EFL League Two,England
George Wickens,GK,61,Lincoln City,EFL League One,England
Felix Wienand,GK,61,Rot-Weiss Essen,3. Liga,Germany
Lasse Wilhelm,CB,61,Saarbrücken,3. Liga,Germany
Josh Williams,RB,61,Birmingham City,EFL League One,England
Max Williamsen,CB,61,Kristiansund BK,Eliteserien,Norway
Tyreke Wilson,LB,61,Shelbourne,SSE Airtricity PD,Republic of Ireland
Melle Joop Witteveen,CAM;RM;CM,61,sc Heerenveen,Eredivisie,Holland
Ole Wohlers,ST,61,Wehen Wiesbaden,3. Liga,Germany
Łukasz Wolsztyński,CAM;ST,61,Stal Mielec,PKO BP Ekstraklasa,Poland
Won Ki Jong,ST;LM,61,Gimcheon Sangmu,K League 1,Korea Republic
Connor Wood,LB,61,Tranmere Rovers,EFL League Two,England
David Worrall,RB,61,Barrow,EFL League Two,England
François Yabré,CB,61,SC Oțelul Galați,SUPERLIGA,Burkina Faso
Yang Yiming,CB,61,Rongcheng FC,CSL,China PR
Yang Shiyuan,CDM;CM,61,Shanghai Port FC,CSL,China PR
Yoon Do Yong,RW;CM;RM,61,Daejeon,K League 1,Korea Republic
Yu Je Ho,CM;CDM,61,Jeonbuk Hyundai,K League 1,Korea Republic
Yu Rui,CB,61,SZ Peng City,CSL,China PR
Yuan Mincheng,CB,61,Changchun Yatai,CSL,China PR
Yue Xin,LB,61,Zhejiang Pro,CSL,China PR
Marcel Zapytowski,GK,61,Korona Kielce,PKO BP Ekstraklasa,Poland
Felipe Zenobio,GK,61,Tigre,Primera División,Argentina
Zhang Yuan,CM;CDM,61,Beijing FC,CSL,China PR
Zhang Yudong,CDM;CM,61,SZ Peng City,CSL,China PR
Zhang Yufeng,CM;CDM,61,Changchun Yatai,CSL,China PR
Zhong Jinbao,CM;LM;CDM,61,Qingdao Hainiu,CSL,China PR
Zhu Baojie,CM;RM;LM,61,SZ Peng City,CSL,China PR
Massimo Zilli,ST,61,Cosenza,Serie BKT,Italy
Jovan Živković,RW;LW;RM,61,SK Rapid,Ö. Bundesliga,Austria
Erick Zúñiga,RW;CDM;RM,61,Delfín SC,Sudamericana,Ecuador
Syver Aas,CM,60,Odds BK,Eliteserien,Norway
Azeem Abdulai,CDM;CM;LB,60,Swansea City,EFL Championship,Scotland
Sabit Abdusalam,CM,60,Changchun Yatai,CSL,China PR
Jaime Acosta,GK,60,Junior,Libertadores,Colombia
Joe Adams,CAM,60,Bradford City,EFL League Two,England
Gabriel Aguayo,RM;RW,60,Cerro Porteño,Libertadores,Paraguay
Gustavo Aguilar,ST,60,Libertad,Libertadores,Paraguay
Lawrence Agyekum,CM;RM;RB,60,Cercle Brugge,1A Pro League,Ghana
Callum Ainley,CAM;CM,60,Grimsby Town,EFL League Two,England
Fahad Al Abdulrazzaq,RB,60,Al Taawoun,ROSHN Saudi League,Saudi Arabia
Mansour Al Bishi,CM;CAM;CDM,60,Al Fayha,ROSHN Saudi League,Saudi Arabia
Khalifa Al Dawsari,CB;LB,60,Al Hilal,ROSHN Saudi League,Saudi Arabia
Abdulrahman Al Dawsari,CM;CDM;LM,60,Al Qadisiyah,ROSHN Saudi League,Saudi Arabia
Amaar Al Dohaim,CB,60,Al Fateh,ROSHN Saudi League,Saudi Arabia
Dhari Al Enazi,LB,60,Damac FC,ROSHN Saudi League,Saudi Arabia
Hamed Al Ghamdi,CM;CAM,60,Al Ittihad,ROSHN Saudi League,Saudi Arabia
Aref Al Haider,RB,60,Al Khaleej,ROSHN Saudi League,Saudi Arabia
Riyadh Al Ibrahim,CAM;LM,60,Al Kholood,ROSHN Saudi League,Saudi Arabia
Abdullah Al Joui,LM;RM;LW,60,Al Shabab,ROSHN Saudi League,Saudi Arabia
Mohammed Al Mahasna,GK,60,Al Ittihad,ROSHN Saudi League,Saudi Arabia
Bandar Al Mutairi,LB,60,Al Khaleej,ROSHN Saudi League,Saudi Arabia
Raghid Al Najjar,GK,60,Al Nassr,ROSHN Saudi League,Saudi Arabia
Saad Al Nasser,LM;RM;CM;LW,60,Al Taawoun,ROSHN Saudi League,Saudi Arabia
Abdulrahman Al Obaid,LB,60,Damac FC,ROSHN Saudi League,Saudi Arabia
Fahad Al Rashidi,CDM;CM,60,Al Orobah,ROSHN Saudi League,Saudi Arabia
Nawaf Al Saadi,RM;RW,60,Al Shabab,ROSHN Saudi League,Saudi Arabia
Ibrahim Al Shuayl,LB,60,Al Taawoun,ROSHN Saudi League,Saudi Arabia
Khaled Al Subaie,CM;LB;CDM,60,Al Raed,ROSHN Saudi League,Saudi Arabia
Ali Al Zaqan,RM;LM;RW,60,Al Riyadh,ROSHN Saudi League,Saudi Arabia
Ethan Alagich,CDM;CM;CAM,60,Adelaide United,A-League,Australia
Scott Allardice,CDM;CM,60,Ross County,Scottish Prem,Scotland
Ruben Alte,CM,60,Kristiansund BK,Eliteserien,Norway
César Álvarez,RB,60,CD Tenerife,LALIGA HYPERMOTION,Spain
Harry Amass,LB,60,Man Utd,Premier League,England
Lorenzo Amatucci,CDM;CM,60,Salernitana,Serie BKT,Italy
Kofi Jeremy Amoako,CDM,60,VfL Osnabrück,3. Liga,Germany
An Byong Jun,ST,60,Suwon FC,K League 1,Korea DPR
Brian Andrada,LM;RM;ST;LW,60,S. Trinidense,Sudamericana,Argentina
Josh Andrews,ST,60,Gillingham,EFL League Two,England
David Ankeye,ST,60,Genoa,Serie A Enilive,Nigeria
Marius Antoche,CB,60,Unirea Slobozia,SUPERLIGA,Romania
Georgios Antzoulas,CB,60,HJK Helsinki,Finnliiga,Greece
Sergio,GK,60,CD Tenerife,LALIGA HYPERMOTION,Spain
Pablo Aranda,RB;CB;LB,60,S. Ameliano,Sudamericana,Argentina
Ayman,ST,60,SD Huesca,LALIGA HYPERMOTION,Morocco
Hodei Arrillaga,LB,60,SD Eibar,LALIGA HYPERMOTION,Spain
Jude Arthurs,CM,60,Bromley FC,EFL League Two,England
Ossama Ashley,CDM;CM,60,Salford City,EFL League Two,England
Ravve Assayeg,ST,60,Stal Mielec,PKO BP Ekstraklasa,Israel
David Atanaskoski,LB,60,Politehnica Iași,SUPERLIGA,North Macedonia
Abdulquddus Attiah,GK,60,Al Taawoun,ROSHN Saudi League,Saudi Arabia
Taha Ayari,LM;CAM;LW,60,AIK,Allsvenskan,Sweden
Onurhan Babuşcu,CAM,60,TSV Hartberg,Ö. Bundesliga,Turkey
Nicola Bagnolini,GK,60,Bologna,Serie A Enilive,Italy
Matt Baker,CB,60,Newport County,EFL League Two,Wales
Erick,CDM;RB,60,Cercle Brugge,1A Pro League,Brazil
Ben Barclay,CB,60,Carlisle United,EFL League Two,England
Dan Barden,GK,60,Swindon Town,EFL League Two,Wales
Lachlan Barr,CB,60,Perth Glory,A-League,Australia
Felipe Barrientos,RW;RM,60,Cobresal,Libertadores,Chile
Kaare Barslund,CB;CM,60,Brommapojkarna,Allsvenskan,Denmark
Teddy Bartouche-Selbonne,GK,60,En Avant Guingamp,Ligue 2 BKT,France
Josh Bauer,CB,60,Nashville SC,MLS,United States
Simon Becher,ST,60,St. Louis CITY SC,MLS,United States
Edvin Becirovic,LM;RM;LW,60,GAIS,Allsvenskan,Sweden
Yassin Belkhdim,CM,60,Angers SCO,Ligue 1 McDonald's,France
Jamir Berdecio,RB;CDM,60,Philadelphia,MLS,Bolivia
Tom Berger,CM;CDM,60,Dynamo Dresden,3. Liga,Germany
Albin Berisha,ST,60,FC Hansa Rostock,3. Liga,Kosovo
Medon Berisha,CM,60,Lecce,Serie A Enilive,Albania
Gijs Besselink,CDM;CM,60,FC Twente,Eredivisie,Holland
Bi Jinhao,CB;ST,60,Shandong Taishan,CSL,China PR
Bartosz Biedrzycki,LM;LB;LW,60,Cracovia,PKO BP Ekstraklasa,Poland
Benjamin Boakye,LW;RW;LM,60,VfB Stuttgart II,3. Liga,Germany
Maurice Boakye,ST;LW,60,VfB Stuttgart II,3. Liga,Germany
Elias Bördner,GK,60,Aleman. Aachen,3. Liga,Germany
Ricky Bornschein,ST,60,FC Erzgebirge Aue,3. Liga,Germany
Edoardo Borrelli,GK,60,Catanzaro,Serie BKT,Italy
Rodrigo Borzone,GK,60,Estudiantes,Libertadores,Argentina
Giuseppe Bovalina,RB,60,Whitecaps FC,MLS,Australia
Seán Boyd,ST,60,Shelbourne,SSE Airtricity PD,Republic of Ireland
Andy Boyle,CB,60,Dundalk,SSE Airtricity PD,Republic of Ireland
Alejandro Bran,CDM;CM,60,Minnesota United,MLS,Costa Rica
Ethan Brierley,CM;CDM,60,Brentford,Premier League,England
Heine Gikling Bruseth,CM,60,Orlando City,MLS,Norway
Mohammed Bu Sanda,GK,60,Al Ain FC,United Emirates League,United Arab Emirates
Tarek Buchmann,CB,60,FC Bayern München,Bundesliga,Germany
Adrian Bukowski,CDM,60,Stal Mielec,PKO BP Ekstraklasa,Poland
Stijn Bultman,CB,60,Heracles Almelo,Eredivisie,Holland
Abdulsamet Burak,CB;CDM;LB,60,Adana Demirspor,Trendyol Süper Lig,Turkey
Sean Busch,ST,60,Hannover 96 II,3. Liga,Germany
Jens Buss,LB;RB,60,Cobresal,Libertadores,Chile
Jack Bycroft,GK,60,Swindon Town,EFL League Two,England
Cai Huikang,CDM;CM,60,Shanghai Port FC,CSL,China PR
Calderón,LB;LM,60,Córdoba CF,LALIGA HYPERMOTION,Spain
Davis Camacho,CDM,60,Técnico U.,Sudamericana,Ecuador
Sekou Camara,ST;RW;RM,60,Unirea Slobozia,SUPERLIGA,Guinea
Axel Cañete,RB;CB,60,S. Trinidense,Sudamericana,Paraguay
Milton Cantero,CM,60,Racing Club,Sudamericana,Argentina
Juan David Carabalí,ST,60,Deportes Tolima,Sudamericana,Colombia
Gonçalo Teixeira,LW;ST;LM,60,Politehnica Iași,SUPERLIGA,Portugal
Jake Carroll,LB;CB,60,Bohemians,SSE Airtricity PD,Republic of Ireland
Carlo Casap,CM,60,Farul Constanța,SUPERLIGA,Romania
Leonardo Cerri,ST,60,Carrarese Calcio,Serie BKT,Italy
Ertuğrul Çetin,GK,60,Fenerbahçe,Trendyol Süper Lig,Turkey
Benjamín Chandía,LM;LW;CAM,60,Coquimbo Unido,Sudamericana,Chile
Ashley Charles,CDM;CM,60,Bromley FC,EFL League Two,Grenada
Pierce Charles,GK,60,Sheffield Wed,EFL Championship,Northern Ireland
Kegs Chauke,CM;CDM,60,Burton Albion,EFL League One,South Africa
Ivane Chegra,RM;CAM;RW,60,AC Ajaccio,Ligue 2 BKT,Algeria
Chen Po Liang,CM;CDM,60,Qingdao W. Coast,CSL,Chinese Taipei
Chen Wei,GK,60,Shanghai Port FC,CSL,China PR
Mohamed Cherif,CDM;CM,60,Sønderjyske,3F Superliga,Guinea
Ange Chibozo,CAM;LM,60,Amiens SC,Ligue 2 BKT,Benin
Choi Young Eun,GK,60,Daegu FC,K League 1,Korea Republic
Kacper Chorążka,GK,60,Bohemians,SSE Airtricity PD,Poland
Harry Christy,GK,60,Leeds United,EFL Championship,England
Paweł Chrupałła,RM;RW,60,Sarpsborg 08,Eliteserien,Poland
Giuseppe Ciocci,GK,60,Cagliari,Serie A Enilive,Italy
James Clarke,CB,60,Newport County,EFL League Two,England
Mika Clausen,CAM;CM;RW,60,FC Erzgebirge Aue,3. Liga,Germany
Reyes Cleary,ST,60,Walsall,EFL League Two,England
Ionuț Cojocaru,RW;LW;RM,60,Farul Constanța,SUPERLIGA,Romania
Joel Coleman,GK,60,Bolton,EFL League One,England
Pietro Comuzzo,CB,60,Fiorentina,Serie A Enilive,Italy
Seámus Conneely,CDM;CM,60,Accrington,EFL League Two,Republic of Ireland
Bambasé Conté,LM;RM;LW,60,Karlsruher SC,Bundesliga 2,Germany
Ali Coote,CAM;RM;LM,60,Shelbourne,SSE Airtricity PD,Scotland
Rob Cornwall,CB,60,Bohemians,SSE Airtricity PD,Republic of Ireland
Carlos Cortés,ST,60,Deportes Tolima,Sudamericana,Colombia
Ronan Coughlan,ST;LW,60,Fleetwood Town,EFL League Two,Republic of Ireland
Esteban Crucci,ST;LW,60,Wanderers,Sudamericana,Uruguay
Jaka Čuber Potočnik,ST,60,1. FC Köln,Bundesliga 2,Slovenia
Augusto Dabó,LB,60,Boavista FC,Liga Portugal,Guinea-Bissau
Emanuel Dall'Aglio,CB,60,Estudiantes,Libertadores,Argentina
Prabir Das,RB;RM;LB,60,Kerala Blasters,ISL,India
Josh Davison,ST,60,Tranmere Rovers,EFL League Two,England
Tom de Graaff,GK,60,FC Utrecht,Eredivisie,Holland
Luca de Meester,RM;RW,60,Viktoria Köln,3. Liga,Germany
Celestin De Schrevel,GK,60,KAA Gent,1A Pro League,Belgium
Ramiro Degregorio,RW;RM,60,Racing Club,Sudamericana,Argentina
Laurenz Dehl,CAM,60,Austria Klagenfurt,Ö. Bundesliga,Germany
Thibault Delphis,RB;CB,60,FC Annecy,Ligue 2 BKT,France
Ali Bina Dembélé,RB,60,Torino,Serie A Enilive,France
Ali Demirel,CAM,60,Kasımpaşa,Trendyol Süper Lig,Turkey
Justin Devenny,CM,60,Crystal Palace,Premier League,Northern Ireland
Miguel Di Pizio,CAM;LM,60,Central Coast,A-League,Australia
Tidiane Diallo,LM;CAM;LW,60,Strasbourg,Ligue 1 McDonald's,France
Baïla Diallo,LB;LM,60,Clermont Foot 63,Ligue 2 BKT,Senegal
Sadou Diallo,CDM;CM,60,Derry City,SSE Airtricity PD,England
Bruno Diaz,CAM;RM,60,Guaraní,Sudamericana,Paraguay
Ionuț Dinu,CB,60,Unirea Slobozia,SUPERLIGA,Romania
Ivan Djantou,ST,60,Sønderjyske,3F Superliga,Cameroon
Ross Docherty,CDM;CM,60,Dundee United,Scottish Prem,Scotland
Jhojan Domínguez,LW;LB;LM,60,ADT,Sudamericana,Peru
Domi,ST,60,Valencia CF,LALIGA EA SPORTS,Spain
Dong Yu,RB,60,Zhejiang Pro,CSL,China PR
Chris Donovan,ST,60,Philadelphia,MLS,United States
Declan Drysdale,CB,60,Tranmere Rovers,EFL League Two,England
Dennis Duah,CB;LB;RB,60,Dynamo Dresden,3. Liga,Germany
Dylan Duffy,LM;LW;ST,60,Lincoln City,EFL League One,Republic of Ireland
Adrian Durrer,CB;CDM,60,FC Winterthur,CSSL,Switzerland
Eldin Dzogovic,RB;CB,60,1. FC Magdeburg,Bundesliga 2,Luxembourg
Jake Eastwood,GK,60,Grimsby Town,EFL League Two,England
Michee Efete,RB;CB,60,Ross County,Scottish Prem,Congo DR
Soufiane El-Faouzi,CAM;CM,60,Aleman. Aachen,3. Liga,Germany
Frederik Elkær,LB;LM,60,Lillestrøm SK,Eliteserien,Denmark
Florian Engelhardt,CDM;RM,60,Viktoria Köln,3. Liga,Germany
Eo Jeong Won,LB;CB,60,Pohang Steelers,K League 1,Korea Republic
Ali Eren Ersungur,CAM;CM,60,Karlsruher SC,Bundesliga 2,Turkey
Lucas Escobar,GK,60,Defensa,Sudamericana,Argentina
Jeannot Esua,RB,60,Galway United,SSE Airtricity PD,Cameroon
Ludéric Etonde,ST,60,USL Dunkerque,Ligue 2 BKT,France
Owen Evans,GK,60,Cheltenham Town,EFL League Two,Wales
Gísli Eyjólfsson,CM,60,Halmstads BK,Allsvenskan,Iceland
Juan Familia-Castillo,LB,60,RKC Waalwijk,Eredivisie,Holland
Fang Jingqi,GK,60,Tianjin JMT FC,CSL,China PR
Lamine Fanne Dabo,CDM,60,AIK,Allsvenskan,Spain
Amar Ahmed Fatah,LM;LW,60,ESTAC Troyes,Ligue 2 BKT,Sweden
Rory Feely,CB;RB,60,Barrow,EFL League Two,Republic of Ireland
Feng Zhuoyi,CM;CDM,60,Rongcheng FC,CSL,China PR
Marcelo Fernández,LM;ST;LW,60,Libertad,Libertadores,Paraguay
Marcos,ST,60,R. Sporting,LALIGA HYPERMOTION,Spain
Rafael Ferrario,GK,60,Barracas Central,Primera División,Argentina
Alin Fică,CM;RW,60,CFR 1907 Cluj,SUPERLIGA,Romania
Maximilian Fillafer,RM;RW,60,TSV Hartberg,Ö. Bundesliga,Austria
